Unnamed: 0,image_id,street,citi,n_citi,bed,bath,sqft,price,img_f1,img_f2,img_f3,img_f4,img_f5
6772,6772,33547 Abbey Road,"Temecula, CA",368,5,3.0,2901,559900,0.0,1.3935504,0.0,0.0,1.9575626
15234,15234,165 Bramble Court,"Camarillo, CA",59,5,3.0,2311,750000,0.0,1.4155319,0.0,0.0,1.4746243
13577,13577,634 La Tapadera Lane,"Nipomo, CA",242,5,4.0,5100,1939000,0.0,1.202963,0.0,0.0,0.6327164
12415,12415,1235 Salerno Ct.,"Oceanside, CA",256,5,3.0,2411,676000,0.0,1.0656056,0.0,0.0,0.33751178
2403,2403,8636 E Broadway,"San Gabriel, CA",323,3,2.0,1312,749888,0.0,1.3270577,0.0,0.0,0.4516453
10428,10428,11130 Starview Court,"Rancho Cucamonga, CA",299,4,3.0,3313,775000,0.0,0.85934305,0.0,0.0,2.0522783
12915,12915,4612 Katy Ct,"La Mesa, CA",171,3,2.1,2612,779000,0.0,0.9315341,0.0,0.0,1.5338014
3285,3285,1152 Picaacho Drive,"La Habra Heights, CA",168,5,7.0,4751,1990000,0.0,1.053846,0.0,0.0,1.3289547
15081,15081,758 Avenida Loma Portal,"Newbury Park, CA",238,4,2.0,1777,645000,0.0,0.46489924,0.0,0.0,1.4988492
12608,12608,6708 Monte Verde Dr,"San Diego, CA",320,3,2.0,1656,700000,0.0,0.9473121,0.0,0.0,1.872246
2129,2129,15638 La Mesa Street,"Sylmar, CA",365,4,2.0,1860,630000,0.0,1.5359704,0.0,0.0,1.2984983
10318,10318,26385 Walnut Hills Drive,"Lake Arrowhead, CA",182,4,2.1,3354,749700,0.0,0.9624308,0.0,0.0,6.027723
14496,14496,20 W Junipero Street,"Santa Barbara, CA",332,2,1.0,1036,949000,0.0,0.6602752,0.0,0.0,2.0248654
2832,2832,2905 Magnolia Avenue,"Long Beach, CA",204,3,3.0,2393,849900,0.0,0.74798954,0.0,0.0,1.7313856
